class,segment_count,total_length_m,total_length_km,pct_share
unclassified,268794,275068115.3471807,275068.11534718075,37.74796116763111
residential,1548590,155525297.3195797,155525.2973195797,21.342942188679046
track,93828,89232473.84560283,89232.47384560283,12.245490370136416
tertiary,140063,49630798.42391525,49630.79842391525,6.810900090182634
service,248117,44989142.83179497,44989.14283179497,6.173919556020299
path,46114,24537853.98304728,24537.85398304728,3.367362146354142
secondary,73668,22521123.057352938,22521.12305735294,3.0906034948739967
trunk,46915,22039359.909992278,22039.35990999228,3.024490501168373
primary,51610,16106971.488554522,16106.971488554522,2.2103809942155452
footway,114417,12586516.473824445,12586.516473824446,1.7272642977540367
bridleway,7177,9406315.427715093,9406.315427715093,1.2908411032944462
living_street,35452,3135452.2532593603,3135.4522532593605,0.43028225844936663
cycleway,3075,1534862.872930731,1534.8628729307309,0.21063126146736727
unknown,1861,783131.5455607384,783.1315455607385,0.10747017746372428
motorway,1163,642521.6187686461,642.5216187686461,0.08817409129382368
pedestrian,6310,634842.8186708044,634.8428186708044,0.08712031940339035
steps,8314,321836.0130921536,321.83601309215356,0.04416598161227903
